#      x(A)         y(A)        z(A)
    6.159599   -7.173599    6.467500  
    2.616850   -1.683701    7.030299 
   -0.591501    0.837700   -9.198580
    3.670270    0.009699   -7.633670   
    6.986320    1.050800    4.077960  
    5.441220    3.691799    4.205099 
   -5.017050   -6.582899   -2.317501
    0.462700    8.059999    7.109400   
   -4.757601    1.731670   -4.668060  
   -1.534203    1.037701    5.896801 
    6.346201   -0.239101    6.596460
   -6.329599    6.732150    8.227860   
   -5.006200   -1.503601    3.665190  
   -2.329760   -3.125000   -2.160398 
   -1.315800   -8.978699    8.438810
    7.411310   -4.917600    6.513000   
    6.540770   -3.207203    4.499700  
   -7.249430   -7.993699    1.573000 
   -0.995100   -4.045640    7.169498
   -4.012510    7.751598    5.452200   
   -0.559336    4.477400    3.304600  
    7.744900   -3.713997    2.087601 
   -4.544220   -5.043590    3.952299
    0.719296   -7.510698   -4.636650   
    4.228601   -2.281260   -6.075701  
   -1.467470   -9.227970   -5.250960 
    0.878002    2.254301    3.436970
    1.186199    4.065403    7.152530   
   -2.573597   -2.653000    0.476000 
